Year,M,Month,Role,Description,
each,1,January,All,"Submit photograph to Newsletter Editor, Web Master",
each,1,January,Conference,Send out RFPs to potential host venues for SoutheastCon for year+3 if not already done,
each,1,January,Area Chair,Verify Sections have satisfied Institute reporting requirements,
each,1,January,Director,Director identifies activities for Operational Audit Committee,
each,1,January,Director,Form new committee (at least even years) based on input from N&A,
each,1,January,Director,Region appointments as defined in the Region 3 Bylaws based on input from N&A,
each,1,January,Director,Define annual Calendar of Events,
each,1,January,Director,Schedule and initiate planning for ExCom & Annual Region Committee meetings,
each,1,January,Finance,Review and Amend Region budget including ExCom endorsement,
each,1,January,MA,Facilitate Region upgrade initiatives,
each,1,January,Newsletter Editor,Publish Newsletter (8 weeks prior to SoutheastCon and Region 3 Committee meeting),
each,1,January,Secretary,Submit Region 3 Roster using vTools,
each,1,January,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,1,January,Secretary,Provide email aliases to ExCom and ad hoc committee members,
each,1,January,SOSC,"Create new Mentor Assignments, Consolidated Goals & Objectives List Development",
each,1,January,Director,Conduct ExCom teleconference meeting,
each,1,January,SAC,Deadline for Larry K. Wilson Regional Student Activities award,
each,1,January,Treasurer,Request total annual Institute Allocation from the Operations Ctr.,
each,1,January,Treasurer,Prepare materials for IEEE Audit,
each,1,January,Treasurer,Encourage Sections to submit NetSuite Reports by bonus date,
even,1,January,Directory,Review financial records,
even,1,January,History Chair,Update Region 3 History Document along with Past Director,
even,1,January,Past Director,Create three page summary of Director term for R3 History along with History Chair,
even,1,January,N&A,"The N&A Committee Chair sends roster, schedule, procedures, applicable bylaws and goals to N&A Committee members.",
even,1,January,N&A,"Draft ""Call for Nominations” for next Director-Elect",
even,1,January,Outgoing PAO,Review and forward spreadsheet listing funding for prior year to Director.,
even,1,January,Past Director,"Sign Annual Geographic Unit Financial Report, forward to the IEEE Operations Center by Feb. 1st (CHECK)",
even,1,January,Past Director,Submit the IEEE-USA Professional Development Funds Report to Washington Office by January 15th (CHECK),
even,1,January,Past Treasurer,Forward Annual Geo. Unit Financial Report to outgoing Del/Director (CHECK),
even,1,January,Past Treasurer,Prepare the IEEE-USA Professional Development Funds spreadsheet.,
even,1,January,Past Treasurer,Send Professional Development Funds Report to outgoing PAC Chair for review,
odd,1,January,PAO,Review and forward spreadsheet listing funding for prior year to Director.,
odd,1,January,Treasurer,Send IEEE-USA Professional Development Funds Spreadsheet to PAO Chair for review,
odd,1,January,Director,"Sign Annual Geographic Unit Financial Report, forward to the IEEE Operations Center by Feb. 1st (CHECK)",
odd,1,January,Director,Review and submit IEEE-USA Professional Development Funds Report to Washington Office by January 15th (CHECK),
odd,1,January,Treasurer,Prepare Annual Geo. Unit Fin. Rpt. for Delegate/Director signature (CHECK),
each,2,February,Treasurer,Submit Region 3 Report in NetSuite,
each,2,February,All,Standing committee staffing complete,
each,2,February,All,Submit newsletter articles for spring (SoutheastCon) edition,
each,2,February,Awards,Submit years award recipients to ExCom for approval,
each,2,February,Awards,Have award recipients plaques made,
each,2,February,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,2,February,Director,Conduct ExCom teleconference meeting,
each,2,February,Director,Notify award recipients,
each,2,February,OAC,OAC Chair notifies Region Committees and activities to be reviewed and requests information from chair of committee(s) being audited.,
each,2,February,Secretary,ExCom minutes to Member and Geographic Activities Dept. & Region Archive,
each,2,February,Secretary,Issue N & A “Call for Nominations”,
each,2,February,Secretary,Issue March/April ExCom & R-3 Committee. mtg. notice and agenda,
each,2,February,SOSC,"With Director, determine strategic support for Spring Meeting",
each,2,February,SOSC,SOSC Online Meeting after IEEE OU Series,
each,2,February,SAC,Nom. deadline for Outstanding Counselor & Advisor award,
each,2,February,SAC,Deadline for Student Paper Contest entries,
each,2,February,Treasurer,Receipt of first half of IEEE-USA Professional Development Funds allotment,
even,2,February,N&A,The N&A Committee Chair issues Call for Nominations for Region Delegate/Director-Elect candidates to Region 3 Committee Members.,
odd,2,February,Director,Submit Region 3 slate of officer candidates to IEEE Headquarters,
odd,2,February,N&A,"N&A Chair with Delegate/Director's approval submits ""Call for Region Volunteers to Serve on the Region 3 ExCom and other Region 3 committees"" to the Editor of the Region 3 Newsletter.",
each,2.5,February/March,Conference,Make recommendation of selected site to R3 EXCOM,
each,3,March,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,3,March,Director,Conduct ExCom teleconference meeting,
each,3,March,Newsletter Editor,Publish Newsletter (3-4 weeks prior to SoutheastCon),
each,3,March,SAC,Nominations deadline for Exemplary Student Branch Award,
each,3.5,March/April,Conference,Make motion to R3 Region Committee for SoutheastCon year+3,
